"","Date","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustSpeed","RainToday","RISK_MM","RainTomorrow","WindDir","Humidity","Pressure","Cloud","Temp","Wind.Direction..degTN.","Wind.Speed..m.s.","Wind.Sigma.Theta..deg.","Wind.Speed.Std.Dev..m.s.","Air.Temperature..degC.","Relative.Humidity....","Nitrogen.Oxide..ppm.","Nitrogen.Dioxide..ppm.","Nitrogen.Oxides..ppm.","Carbon.Monoxide..ppm.","PM10..ug.m.3.","PM2.5..ug.m.3."
"27",17572,19.4,32.8,0,8,11.7,22,1,1,1,7,51.5,1008.9,1,29.3,195,2.05,33.7,1,31.1,46.5,0.0075,0.0085,0.0155,0.2,14.7,5.7
"28",17573,22.7,34.5,1,6.2,11.4,56,1,6.6,2,5,57.5,1004.85,1.5,30.05,192.5,1.95,44.9,0.95,32.1,52.3,0.004,0.0085,0.012,0.15,17.35,7.45
"29",17574,20.9,33.5,6.6,9.2,12.2,22,2,0,1,3.5,54.5,1006.45,2,31,57.5,1.75,42.55,0.85,33.15,47.4,0.009,0.0175,0.026,0.2,21.7,9.5
"30",17575,26.3,33,0,7.2,6.5,46,1,13,2,3.5,70,1009.4,4,29.6,61.5,2.3,37.9,1.15,31.15,64.8,0.015,0.0125,0.027,0.2,23.7,8.9
"31",17576,21.8,33,13,8.4,11.6,24,2,0,1,6,64.5,1009.3,1,30.4,208,2.15,35.55,0.95,32.45,58.05,0.015,0.017,0.0315,0.25,23.8875,9.5
"32",17577,24.6,35.7,0,6.2,8.6,33,1,0,1,6.5,61.5,1009.65,2,31.7,120,1.75,47.9,1.1,33,58.05,0.008,0.0145,0.022,0.25,22.45,11.3
"33",17578,26.6,33,0,7.2,8,24,1,17,2,8,67,1008.75,5,29.7,205.5,1.7,92,1,31.2,63.75,0.015,0.012,0.027,0.2,25.75,6.15
"34",17579,22.5,31.5,17,7.6,11,31,2,0,1,5.5,64,1010.95,3.5,29,122.5,2.3,32.9,1.15,30.55,58.95,0.009,0.006,0.0145,0.15,15,6.9
"35",17584,20.7,26.7,0.2,8.2,0,37,1,62.8,2,6.5,68,1013.9,7.5,24.75,138,2.3,26.65,1.05,25.7,65.7,0.021,0.013,0.034,0.15,11.85,3.2
"36",17585,22.2,26.4,62.8,11.4,0.1,31,2,135.8,2,1.5,90.5,1013.05,8,24.5,80.5,1.95,29.65,1.05,25.1,85,0.01,0.0065,0.0165,0.15,7.55,2.65
"37",17586,22.1,29.1,135.8,11.4,0,24,2,19,2,8,78.5,1011.85,7.5,26.85,108,1.4,36.05,0.7,27.6,75.05,0.0125,0.006,0.0185,0.2,8.4,6.75
"38",17593,24,30.6,0.8,4,8,19,1,0.2,1,6.5,71.5,1010.9,4,28.25,41,1.5,104.3,0.8,30.6,62.65,0.0055,0.0085,0.013,0.05,20.7,6.3
"39",17594,24.3,34.7,0.2,5.4,9.7,24,1,2.4,2,6.5,55,1010.35,5.5,31.65,219.5,1.55,46.25,0.85,33.45,49.5,0.007,0.0135,0.0205,0.1,9.3,5.65
"40",17595,23.6,29.4,2.4,5.8,0.3,19,2,57.4,2,1.5,78.5,1011.55,7.5,26.3,130.5,1.4,37.85,0.75,27.55,72.85,0.017,0.0175,0.034,0.15,9.2,4.65
"41",17596,20.5,24,57.4,4.4,0,28,2,11,2,9,88,1014.6,8,21.85,199,1.65,32.3,0.9,22.45,84.05,0.03075,0.0215,0.0655,0.2,8.75,2.65
"42",17597,18.8,26.1,11,3.6,1.1,44,2,5.8,2,10,74,1017.45,7.5,23.85,150,4.25,21.65,1.75,24.9,69,0.0195,0.0115,0.031,0.05,13.25,2.65
"43",17598,19,26.6,5.8,1.8,2.7,41,2,1.6,2,10,61,1018.3,7.5,24.55,145.5,4,21.75,1.65,25.5,58.35,0.0205,0.012,0.032,0,14.1,3.3
"44",17599,19.1,27.4,1.6,4.4,6.6,41,2,0.6,1,11.5,55.5,1019.05,6.5,25.6,153,3.85,23.75,1.6,26.35,52.9,0.021,0.013,0.034,0.05,14.1,3.55
"45",17600,20.1,26.7,0.6,6.6,4.4,48,1,2.8,2,10,60,1020,7,25.4,135,2.95,27.85,1.55,25.55,62.55,0.007,0.0065,0.0135,0,10.6,3.4
"46",17601,18.8,25.7,2.8,4.6,3.2,33,2,2.2,2,10,74,1018.55,7.5,22.85,178.5,2.45,26.15,1.1,23.85,70.55,0.0155,0.0105,0.0255,0.05,3.8,0.15
"47",17602,18.3,28.6,2.2,4.2,9,28,2,0,1,8,59,1015.25,5,25,177.5,2.1,33.45,0.95,27.05,54.45,0.0185,0.0125,0.03,0.05,14.2,4.4
"48",17603,19.2,27.3,0,5.4,3.7,33,1,5.8,2,7,62.5,1015.85,7,25.75,140.5,2.65,27.5,1.2,27,60.75,0.0215,0.013,0.034,0.1,9.9,1.55
"49",17604,20.5,28.7,5.8,4.2,9.5,44,2,0.4,1,10,61.5,1015,2,26.6,144,3.65,22.15,1.7,27.4,56.1,0.0215,0.013,0.034,0.05,13.1,3.3
"50",17605,20.2,29.4,0.4,6.2,8.1,28,1,0,1,7.5,61,1012.35,4,26.35,165,2.4,30.8,1.1,27.8,55.8,0.025,0.0185,0.0435,0.15,15.95,5.65
"51",17606,18.5,30.6,0,6,11.3,28,1,0,1,7,59.5,1014.7,1,26.85,175,1.6,42.05,0.9,29.4,50.35,0.016,0.0155,0.0305,0.1,14.5,4.25
"52",17607,20.5,31,0,7,11.3,24,1,0,1,6.5,54.5,1016.65,1,27.9,149.5,1.75,41.85,0.85,29.85,49.8,0.008,0.009,0.017,0.05,14.05,3.95
"53",17608,21.1,31.2,0,6.2,8,20,1,0,1,10.5,67.5,1015.8,4.5,27.65,148.5,1.8,45.65,1.05,29.4,60.9,0.0065,0.0055,0.012,0.05,9.7,3.85
"54",17609,21.9,31.4,0,4.4,9.9,26,1,0.2,1,2.5,63.5,1015.8,3.5,28.65,170,1.5,41.45,0.85,30.45,58.15,0.018,0.01,0.028,0.1,8.35,1.6
"55",17610,20.7,29.8,0.2,7,10.1,30,1,13.6,2,2,57.5,1017.05,2.5,27.3,125,1.95,40.05,1,29.5,51.85,0.0145,0.0115,0.026,0.05,15.35,6.7
"56",17611,21.2,25.8,13.6,7.2,0.5,41,2,28,2,6.5,72.5,1016.95,7,25.2,137.5,2.8,27.9,1.4,26.15,67.85,0.0165,0.0105,0.0265,0.1,12.5,1.9
"57",17612,20.4,27.6,28,7.2,8.3,37,2,6,2,7,68.5,1016.25,4.5,25.55,144.5,3.35,23.8,1.5,26.7,62.45,0.0235,0.0115,0.0345,0.05,16.2,5.6
"58",17613,19.7,28.3,6,6,8.2,30,2,0.2,1,5,66.5,1017.2,6,26.1,124,2.15,33.6,1.05,27.3,59.9,0.018,0.011,0.028,0.1,13.35,1.9
"59",17614,20.5,27.7,0.2,4.6,6.3,26,1,0.2,1,1.5,62,1017.65,6,26.45,90.5,2,33.15,1.2,28.15,55.5,0.0045,0.0045,0.0085,0,17.7,6
"60",17615,19.5,28.1,0.2,4,5.6,22,1,1,1,7.5,71,1014,5,25.6,93.5,1.4,45.65,0.9,27,65.75,0.005,0.0045,0.0095,0,8.25,-0.85
"61",17616,21.9,29.2,1,3.4,5.5,17,1,0.2,1,11,75.5,1009.55,7,26.85,141,1.35,42,0.75,28.75,68.45,0.022,0.015,0.0365,0.15,13.85,5.2
"62",17617,23.7,28.3,0.2,3.8,1,28,1,1.2,2,6,74.5,1012.1,7,27,151.5,2.1,27.65,1,28.2,69.2,0.0315,0.0145,0.046,0.15,17.95,9.75
"63",17618,20.9,30.9,1.2,8.4,10.7,33,2,2,2,10.5,55.5,1013.6,2.5,28.15,153,2.95,24.75,1.3,29.25,55.8,0.02,0.0165,0.0365,0.1,11.85,4.75
"64",17619,21,28.7,2,6.8,6.7,37,2,1,1,5.5,77,1012.85,6,25.9,134.5,2.35,30.05,1.5,26.1,76.75,0.018,0.011,0.0285,0.1,10,2.9
"65",17620,21.1,29.1,1,3.6,8.7,26,1,0.4,1,6,73,1013.15,5,26.7,137.5,2.2,25.1,1,27.3,69.8,0.0065,0.005,0.0115,0,10.15,2.05
"66",17621,20.7,29.3,0.4,6,9.9,31,1,0,1,5.5,64,1015.35,4,26.9,140,2.85,26.3,1.3,28.15,59.5,0.0065,0.0045,0.011,0,11.45,2.75
"67",17622,20.1,28.9,0,6.6,9.3,26,1,0.4,1,6.5,68,1015.95,4.5,26.3,114,2.3,26.7,1.15,27.35,65.75,0.003,0.003,0.006,0,7.45,0.75
"68",17623,20.7,28.6,0.4,6,10.6,26,1,0,1,2,65,1015.4,2.5,27.15,75,2.25,29.4,1.1,28.4,60.3,0.002,0.0025,0.0045,0,10.2,1.25
"69",17624,19.8,28,0,6,8.9,33,1,4.2,2,6.5,66,1016.55,4,25.6,142.5,2.35,30.05,1.15,26.65,63,0.018,0.0085,0.0265,0.1,13,4.575
"70",17625,20.1,26.3,4.2,6.4,1,33,2,3.2,2,7,77,1015.75,7.5,23.4,155,2.45,24.6,1.1,24.3,72.95,0.0335,0.016,0.0495,0.1,8.5,1.1
"71",17626,18.2,28.1,3.2,4.4,9.4,37,2,1.8,2,6.5,64.5,1014.5,2.5,25,146,2.4,31.15,1.25,26.4,60.6,0.023,0.014,0.037,0.1,11.95,0.5
"72",17627,18.2,27.8,1.8,6.2,8.5,33,2,3.2,2,5.5,61,1015.6,6,25.6,138,2.5,29.05,1.2,26.75,59.25,0.017,0.011,0.0275,0.1,13.4,3.25
"73",17628,18.7,28.1,3.2,5,10.7,28,2,2.4,2,6.5,60.5,1018.45,3,26.15,127.5,2.2,30.85,1.1,27.15,54.95,0.0075,0.008,0.0155,0.05,13.65,3.7
"74",17629,18.6,27.8,2.4,5.8,10,26,2,0,1,8.5,65.5,1019.5,3.5,24.45,171.5,2,30.8,0.95,26.15,59.3,0.0075,0.0065,0.0135,0.05,5.9,0.85
"75",17630,17.6,29.3,0,5.4,9.7,15,1,0,1,7.5,61.5,1017.7,1,25.75,146,1.65,31.85,0.75,27.65,56.15,0.0175,0.0175,0.0345,0.1,16.05,3.7
"76",17631,17.6,30.1,0,0.4,10.3,39,1,0.2,1,9.5,66,1017.8,2,25.35,182.5,2.8,26.45,1.3,26.9,59.5,0.022,0.0185,0.0405,0.15,20,6.15
"77",17632,19.9,27.2,0.2,6.2,10.6,30,1,0,1,6.5,54.5,1021.35,4.5,25.05,123,2.2,34.05,1.2,26.4,51.7,0.0115,0.0115,0.023,0.05,16.45,4.6
"78",17633,17.6,26.1,0,7.2,3.5,28,1,0.6,1,9,62.5,1020.95,7,23.9,177,1.3,55.4,0.85,25.5,57.75,0.031,0.0195,0.0505,0.15,24.05,5.6
"79",17634,18.1,27.8,0.6,4.2,9.4,28,1,0,1,4,61,1017.85,2,25.85,172.5,1.6,53.4,0.9,26.95,57.5,0.0175,0.0155,0.032,0.15,19.05,3.05
"80",17637,15.1,32,0,4,10.9,19,1,0,1,13,42,1013.95,0,28.1,146,1.3,93.7,0.8,29.65,40.2,0.025,0.0235,0.0485,0.2,28.45,5.35
"81",17638,16.7,30.8,0,5.2,10.6,33,1,5.2,2,6.5,55.5,1016.8,0.5,26.15,176.5,1.9,31.4,0.9,27.65,50.15,0.0245,0.0245,0.0485,0.15,21.35,6.2
"82",17639,19.4,24.7,5.2,7.6,0.6,30,2,1.2,2,9.5,75,1020.6,7,22.5,184.5,2.05,30.85,0.95,23.6,70.5,0.027875,0.0215,0.0605,0.1625,14.65,4.45
"83",17640,18.4,27.2,1.2,5,7.1,22,2,0.2,1,8,60.5,1020.1,4.5,24.8,140.5,1.9,35.05,0.95,26.05,56.9,0.022,0.018,0.0395,0.15,15.25,3.35
"84",17641,18.9,27.7,0.2,5.8,3.8,26,1,10,2,10,76,1017.9,6.5,23.05,240.5,1.35,34.35,0.75,24.15,73.5,0.026375,0.019375,0.04525,0.2,14.25,5.2
"85",17642,17.5,26.7,10,2.8,7.8,30,2,0.2,1,7,69,1017.9,4,23.15,169.5,1.65,34.7,0.9,24.4,66.65,0.015,0.013,0.028,0.15,9.2,3.65
"86",17643,17.2,25.8,0.2,3.8,9.8,30,1,0,1,11,60.5,1017.35,3,24.05,168.5,2.7,27.3,1.15,25.15,57.45,0.01,0.011,0.0205,0.1,6.4,1.6
"87",17644,16.9,28,0,5.8,8.9,22,1,1.4,2,9.5,66.5,1015.75,3,22.55,186,2.05,31.8,1.05,23.4,66,0.022,0.0185,0.0405,0.1,9.2,3.5
"88",17645,16.4,27.2,1.4,3.2,9.1,24,2,1.2,2,13.5,50.5,1014.15,3.5,23.8,205,2.1,32.55,1.05,25.2,49,0.017375,0.0215,0.03275,0.15,8.95,4.4
"89",17646,17.5,27.7,1.2,4,9.3,17,2,0,1,12.5,57.5,1012,4,25,194.5,1.6,29.5,0.8,26.5,53,0.0085,0.009,0.017,0.1,5.25,1.8
"90",17647,18.1,29.1,0,5,10.5,22,1,0,1,9,62.5,1012.15,1,24.85,167.5,1.5,39.65,0.85,26.6,58.7,0.017,0.0215,0.0385,0.15,13.45,6.65
"91",17648,18.3,27.5,0,4.6,8.8,28,1,0,1,9.5,53.5,1016.4,2,24.6,177,2.75,25.45,1.15,25.75,50.35,0.0255,0.022,0.0475,0.15,14.55,6.4
"92",17649,16.6,25.5,0,5.6,7.8,28,1,0.4,1,11.5,56,1018.4,4,22.4,179,2.5,28.25,1.15,22.45,60.95,0.013,0.0125,0.0255,0.1,7.6,1.9
"93",17650,15.8,26.1,0.4,2.6,10.1,24,1,0,1,12,54,1020.3,2.5,22.1,185.5,2.35,29.7,1.1,23.65,52.6,0.0105,0.0105,0.021,0.1,6.9,1.15
"94",17651,14.9,25.5,0,4,8,33,1,0,1,11.5,57,1020.95,3,21.1,184,2.8,28.5,1.45,22.35,52.6,0.026,0.019,0.044,0.15,11.55,4.7
"95",17652,15.1,25.3,0,6,8.6,33,1,0,1,7.5,54.5,1023,3,22.5,183,2.25,28.35,1.15,23.55,52.5,0.0295,0.0195,0.0485,0.15,15.9,5.25
"96",17653,17.2,26,0,4.8,8,22,1,0,1,8.5,59,1021.55,4.5,22.75,177.5,2.05,31.55,0.95,24.6,54.4,0.0205,0.0145,0.0345,0.15,18.1,8.2
"97",17654,16,26.7,0,4.2,8.8,17,1,0,1,10.5,61.5,1019.95,5.5,22.95,151,1.85,28.8,0.8,24.7,58,0.0315,0.0205,0.0515,0.25,20.95,9.8
"98",17655,16.5,27.6,0,3.6,9.9,19,1,0,1,10.5,64.5,1019.05,3,24.2,160,1.35,68.4,0.8,25.85,59.85,0.0175,0.018,0.0355,0.2,18.55,6.6
"99",17656,18.3,27.2,0,3.8,9.3,31,1,0,1,8,61,1023.1,1,24.35,150,2.7,32.95,1.45,25.9,55.5,0.0095,0.0125,0.022,0.15,22.6,7.95
"100",17657,15.7,25.8,0,6.4,9.7,37,1,0,1,7.5,57,1026.35,2.5,22.45,176,2.85,28.6,1.4,24,51.9,0.0085,0.008,0.0165,0.1,15,4.5
"101",17658,16.7,24.2,0,5.8,1.5,30,1,8.2,2,8,68,1023.05,7.5,21.6,176.5,1.75,31.7,0.9,22.85,64.35,0.0125,0.0115,0.024,0.1,13.2,2.45
"102",17659,18.5,22.5,8.2,5.6,0.1,24,2,9.2,2,13,91,1020.35,7,20.25,204.5,1.35,31.95,0.75,21.3,85.4,0.02025,0.0245,0.036,0.3,11.8,6.55
"103",17660,17.9,27.2,9.2,0.6,9.2,22,2,0,1,15,59.5,1017.7,1,23.9,249,1.95,30.7,0.9,25.6,53.9,0.0285,0.0205,0.0485,0.25,9.55,5.25
"104",17661,14.3,27.9,0,3.8,10,24,1,0,1,13.5,52,1015.6,0.5,23.55,286.5,0.85,62.45,0.55,25.4,48,0.0315,0.0235,0.055,0.25,15.2,8
"105",17662,14.9,22.9,0,6,10.2,43,1,0,1,14,32,1014.15,0,20.7,265.5,3.4,28.1,1.6,21.55,28.3,0.022375,0.018,0.0455,0.2,17.6,0.6
"106",17663,12.3,22.3,0,10.2,10.1,44,1,0,1,15,35.5,1013.75,0.5,19.3,264.5,3.35,27.6,1.5,20.45,32.8,0.0155,0.0115,0.026,0.2,18.5,1.7
"107",17664,10.7,24.4,0,5.6,10,24,1,0,1,12.5,41.5,1016.7,1,21.15,243.5,1.95,33.95,0.85,22.35,38.75,0.014,0.012,0.026,0.25,9.2,4.15
"108",17665,11.2,25,0,4,9.6,20,1,0,1,12,50,1019.25,2,21,220,1.7,35.2,0.85,21.95,47.55,0.02175,0.022,0.037625,0.25,10.5,4.2
"109",17666,13.4,25.1,0,4.4,9.9,19,1,0,1,13,43.5,1019.7,0.5,21.6,149,2.05,34.15,1,22.55,45.15,0.0205,0.018,0.0385,0.2,12.8,2.55
"110",17667,11.5,24.4,0,4,9.9,20,1,0,1,7,51,1022.1,3.5,20.4,174.5,2.05,32.6,0.95,21.95,46.85,0.0205,0.0165,0.037,0.25,17.25,6.3
"111",17668,12.8,23.6,0,4.8,6.8,28,1,0,1,7.5,63,1022.7,4,20,186,2.3,29.3,1.15,21.4,57.8,0.029,0.0205,0.049,0.25,13.9,4.25
"112",17669,13.3,25.4,0,4,9.8,17,1,0,1,9,61.5,1021,1,21.15,142.5,1.75,29.8,0.75,22.15,56.95,0.0275,0.0225,0.05,0.3,16.05,6.95
"113",17670,11.5,25.3,0,3.2,9.7,17,1,0,1,7.5,48,1020.75,1,20.65,149.5,1.85,28.85,0.8,21.95,48.05,0.01,0.0125,0.022,0.2,13.65,6.85
"114",17671,11.6,25.3,0,2.6,9.9,20,1,0,1,13.5,48,1019.6,1,20.9,261,1.4,34.7,0.8,22.7,45.4,0.0155,0.0175,0.0325,0.3,13.1,6.05
"115",17674,11.3,25,0,5,9.3,24,1,0,1,8,47,1022.1,2,20.75,185,2.15,26.6,1.1,22.35,44.75,0.025,0.0195,0.0445,0.25,15.3,4.35
"116",17675,13.1,24.2,0,4,7.7,17,1,0,1,7,59.5,1022.25,4,20.8,158.5,1.75,32.1,0.85,22.2,56.05,0.0195,0.016,0.0355,0.25,18.5,5.6
"117",17676,14.2,24.6,0,3.6,5,26,1,0,1,8,63.5,1023.45,7,20.15,175.5,1.95,27.55,0.9,21.45,60,0.031,0.021,0.0515,0.225,14.9,5.1
"118",17677,15.1,23.8,0,4.2,5.6,31,1,3.4,2,11,74.5,1026.6,4,18.2,173.5,2.05,39.1,1.2,19.3,68.8,0.0175,0.016,0.033,0.2,9.4,2.4
"119",17678,14.3,23.1,3.4,2.6,5.6,24,2,1.6,2,7,67,1025.3,4,20.15,140,1.7,34.3,0.95,21.5,59.85,0.0075,0.009,0.0165,0.2,9.15,4.7
"120",17679,14.8,22.7,1.6,2.2,3.6,22,2,4.2,2,8.5,78,1023.4,7,18.9,169.5,1.9,28.15,0.95,20,72.5,0.0205,0.015,0.0355,0.25,10.45,4.15
"121",17680,16.2,23.5,4.2,1.4,5.8,24,2,0.2,1,7.5,80,1020.7,7,19.4,146.5,1.45,27.3,0.65,20.7,74.1,0.026625,0.0215,0.042875,0.25,12.6,6
"122",17681,13.4,26.1,0.2,2.4,9.4,26,1,0,1,15,69,1017.85,1,20.55,261.5,1.3,37.55,0.75,21.55,64.8,0.035,0.021,0.0555,0.25,8.5,3.9
"123",17682,8.3,22,0,4.8,9.9,30,1,0,1,15,35.5,1019.05,0,18.3,262,2.3,29.7,1.1,19.45,30.75,0.0315,0.0205,0.0515,0.3,7.95,2
"124",17683,10.2,22.6,0,5.4,9.8,19,1,0,1,12.5,35,1018.4,0,19.05,211.5,2.35,29.75,1,18.95,36.8,0.0285,0.0215,0.0495,0.2,10.85,4.05
"125",17684,8.4,23.5,0,3.6,9.9,24,1,0,1,13,43.5,1015.45,0,19.05,245.5,1.4,34.5,0.7,18.55,43.65,0.0235,0.0165,0.0395,0.1,12.7,7.15
"126",17685,12,25.4,0,4.8,8.9,20,1,0,1,12.5,46.5,1013.85,4,21.6,235.5,2.2,26.65,0.95,20.7,48.35,0.015,0.013,0.0275,0.05,14.3,6.75
"127",17686,11.7,24,0,3.2,9.6,19,1,0,1,7.5,56,1015.7,1.5,20.2,168.5,1.95,29.15,0.95,19.05,59.5,0.015,0.013,0.028,0.1,11.8,5.7
"128",17687,11.5,22.6,0,4,9.7,20,1,0,1,7,57,1020.8,1,19.35,166.5,1.85,31.45,0.9,18.35,60.15,0.0235,0.016,0.039,0.15,12.35,5.4
"129",17688,11.8,23.1,0,4.4,8.5,30,1,8.6,2,7.5,61,1023.35,3,18.65,181,2.05,31.4,1.1,17.85,63.15,0.0305,0.022,0.0525,0.15,14.1,6.3
"130",17689,13.9,20.6,8.6,3.6,1.9,30,2,9.4,2,6.5,84.5,1026.25,6.5,17.25,137,1.8,35.2,0.95,16.3,81,0.0225,0.0215,0.0435,0.1,13.6,6
"131",17690,13.8,22.4,9.4,0.4,6.1,22,2,0.2,1,9,69.5,1024.4,6,19.35,186.5,1.65,36.75,0.95,18,75.05,0.037,0.0215,0.058,0.2,17.2,7.7
"132",17691,15.6,23.7,0.2,1.8,3.8,15,1,0.8,1,7,68.5,1021.65,7,20.45,115,1.2,33.65,0.6,19.1,70.25,0.012,0.0105,0.0225,0.15,10.95,6.5
"133",17692,15.6,23.6,0.8,2.6,6.4,20,1,0,1,10,61.5,1019.45,4,20.45,201,1.9,31.2,0.95,19.45,63.35,0.016,0.0145,0.0295,0.15,7.6,4.6
"134",17693,12.4,23.3,0,3,9.7,17,1,0,1,7,52,1018.9,1.5,19.75,241.5,1.2,53,0.75,18.75,54.3,0.025,0.019,0.044,0.15,14.9,6.25
"135",17694,9.3,22.9,0,2.8,8.6,15,1,0,1,8.5,61.5,1016.3,5.5,17.85,143.5,1.6,30.05,0.75,16.7,65.85,0.026625,0.0275,0.07,0.3,29.3,12.9
"136",17695,10.5,25.2,0,2.4,7.5,15,1,0.8,1,9,65,1013.4,2.5,19.7,64.5,0.6,74.55,0.55,19.5,62.7,0.03525,0.02675,0.06125,0.275,30.6,11.4375
"137",17696,14,23.8,0.8,5,5.3,20,1,0,1,15,55.5,1016.85,6.5,22.05,282,1.55,31.1,0.75,21.2,57,0.028,0.025,0.053,0.25,20.05,10.5
